Eng Displ,# Cyl,Comb Unadj FE - Conventional Fuel,# Gears,Max Ethanol % - Gasoline,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Trans Creeper Gear,Unique Label?,Air Aspiration Method Desc,Fuel Metering Sys Desc,Cyl Deact?
,6,23.7057,6,15.0,2,2,N,N,Turbocharged,Spark Ignition Direct Injection,N
,4,33.8444,6,10.0,2,2,N,N,none given,Spark Ignition Direct Injection,
,8,20.7274,8,10.0,2,2,N,N,none given,Spark Ignition Direct Injection,N
,4,38.7615,8,10.0,2,2,N,N,Naturally Aspirated,Spark Ignition Direct Injection,N
1.6,4,35.4387,8,10.0,2,2,N,N,Turbocharged,Spark Ignition Direct Injection,
,6,32.3839,8,,2,2,N,Y,none given,Common Rail Direct Diesel Injection,   
3.5,6,33.7239,6,10.0,2,2,N,N,none given,@@@@@,
,6,26.4254,7,10.0,2,2,N,,none given,Spark Ignition Direct Injection,N
3.4,6,30.386,7,10.0,2,2,N,Y,none given,@@@@@,N
0.9,3,47.9309,5,10.0,2,2,N,,Turbocharged,@@@@@,   
3.3,6,26.6947,6,10.0,2,2,N,N,Naturally Aspirated,Spark Ignition Direct Injection,N
3.5,6,23.8253,6,15.0,2,2,N,Y,Naturally Aspirated,Spark Ignition direct & ported injection,   
,6,23.9231,5,10.0,2,2,N,N,Naturally Aspirated,Multipoint/sequential fuel injection,N
3.0,6,28.0618,8,10.0,2,2,N,N,Turbocharged,@@@@@,N
2.4,4,33.6531,5,10.0,2,2,N,N,none given,@@@@@,N
1.8,4,36.5318,6,15.0,2,2,N,N,Turbocharged,Spark Ignition Direct Injection,N
2.0,4,40.402,7,10.0,2,2,N,N,none given,@@@@@,N
6.4,8,23.4876,8,10.0,1,1,N,N,none given,Multipoint/sequential fuel injection,Y
3.7,6,27.1333,6,15.0,2,2,N,N,Naturally Aspirated,@@@@@,   
2.0,4,36.3569,6,15.0,2,2,N,N,none given,Spark Ignition Direct Injection,   
2.0,4,31.3542,6,10.0,2,2,N,N,none given,Spark Ignition Direct Injection,   
3.0,6,26.4165,7,15.0,2,2,N,N,Supercharged,@@@@@,N
4.6,8,23.552,8,15.0,2,2,N,N,none given,@@@@@,
3.8,6,26.8467,7,10.0,2,2,N,N,Naturally Aspirated,@@@@@,N
